file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
E:\OOD\projectsnew\libsu-master\service\src\main\java\com\topjohnwu\superuser\internal\RootServiceManager.java,com.topjohnwu.superuser.internal.RootServiceManager,class,28,32,4,28,51,5,0,61,40,0.8608058,0.06666667,0.06666667,13,4,5,7,0,1,6,0,0,0,21,15,0,17,0,4,17,0,20,306,14,1,16,4,2,38,17,60,11,55,3,0,7,5,165,1,0
E:\OOD\projectsnew\libsu-master\service\src\main\java\com\topjohnwu\superuser\internal\RootServiceServer.java,com.topjohnwu.superuser.internal.RootServiceServer$AppObserver,innerclass,4,4,0,4,4,2,0,5,0,0.0,1.0,1.0,2,0,1,0,0,1,2,0,0,0,1,0,0,1,0,0,1,0,1,13,0,0,1,0,0,2,0,1,1,1,1,0,0,0,20,2,0
E:\OOD\projectsnew\libsu-master\core\src\main\java\com\topjohnwu\superuser\internal\MainShell.java,com.topjohnwu.superuser.internal.MainShell,class,12,17,5,12,19,1,0,10,28,0.7407408,0.1904762,0.2857143,9,8,6,2,0,1,7,0,0,3,3,3,0,3,0,0,1,0,7,64,4,0,6,1,0,4,5,11,0,6,3,0,0,2,37,17,0
E:\OOD\projectsnew\libsu-master\core\src\main\java\com\topjohnwu\superuser\Shell.java,com.topjohnwu.superuser.Shell$Task,interface,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,1,0
E:\OOD\projectsnew\libsu-master\service\src\main\java\com\topjohnwu\superuser\ipc\RootService.java,com.topjohnwu.superuser.ipc.RootService,class,16,21,5,16,26,2,2,24,171,1.0,0.0,0.0,19,8,16,1,2,0,18,1,3,0,1,1,1,0,0,0,1,0,18,77,10,0,3,1,0,1,0,5,0,5,3,0,0,1,253,1025,0
E:\OOD\projectsnew\libsu-master\example\src\main\java\com\topjohnwu\libsuexample\AIDLService.java,com.topjohnwu.libsuexample.AIDLService,class,6,7,1,6,8,4,0,5,13,0.6666667,0.0,0.0,6,0,5,0,0,1,7,0,0,0,1,0,0,1,0,0,1,0,2,38,2,0,1,0,0,6,1,1,1,1,1,0,1,0,26,0,0
E:\OOD\projectsnew\libsu-master\core\src\main\java\com\topjohnwu\superuser\internal\StreamGobbler.java,com.topjohnwu.superuser.internal.StreamGobbler$ERR,innerclass,1,1,0,1,2,2,0,1,1,0.0,0.0,0.0,2,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,0
E:\OOD\projectsnew\libsu-master\nio\src\main\java\com\topjohnwu\superuser\internal\NIOFactory.java,com.topjohnwu.superuser.internal.NIOFactory,class,7,8,1,7,5,1,0,2,6,0.0,0.0,0.0,4,3,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,65,3,0,1,0,0,1,0,1,0,1,1,2,0,0,21,17,0
E:\OOD\projectsnew\libsu-master\core\src\main\java\com\topjohnwu\superuser\internal\JobImpl.java,com.topjohnwu.superuser.internal.JobImpl,class,14,18,4,14,21,2,1,10,21,0.68,0.11111111,0.11111111,10,0,7,1,0,2,9,0,0,0,4,0,0,2,2,0,1,0,3,72,8,1,4,1,0,0,1,19,0,8,2,0,0,1,41,0,0
E:\OOD\projectsnew\libsu-master\core\src\main\java\com\topjohnwu\superuser\internal\ShellInputSource.java,com.topjohnwu.superuser.internal.InputStreamSource,class,2,3,1,2,4,1,0,4,0,0.0,1.0,1.0,3,0,2,0,0,1,3,0,0,0,1,0,0,1,0,0,1,0,2,19,0,0,0,1,0,1,0,1,0,1,1,0,0,0,13,0,0
