file,class,type,wmc,lcom,loc,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\command\klass100\JadCommand.java,com.taobao.arthas.core.command.klass100.JadCommand,class,30,48,144,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\test\java\com\taobao\arthas\core\config\ServerPropertiesTest.java,com.taobao.arthas.core.config.ServerPropertiesTest,class,2,1,36,,,,,,
E:\OOD\projectsnew\arthas-master\common\src\main\java\com\taobao\arthas\common\OSUtils.java,com.taobao.arthas.common.OSUtils,class,58,37,117,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\advisor\SpyInterceptors.java,com.taobao.arthas.core.advisor.SpyInterceptors,class,0,0,47,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\command\view\MemoryView.java,com.taobao.arthas.core.command.view.MemoryView,class,8,1,85,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\shell\term\impl\http\api\ApiRequest.java,com.taobao.arthas.core.shell.term.impl.http.api.ApiRequest,class,13,42,47,,,,,,
E:\OOD\projectsnew\arthas-master\arthas-spring-boot-starter\src\main\java\com\alibaba\arthas\spring\endpoints\ArthasEndPoint.java,com.alibaba.arthas.spring.endpoints.ArthasEndPoint,class,3,0,15,,,,,,
E:\OOD\projectsnew\arthas-master\common\src\main\java\com\taobao\arthas\common\UsageRender.java,com.taobao.arthas.common.UsageRender,class,7,1,27,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\env\convert\StringToEnumConverter.java,com.taobao.arthas.core.env.convert.StringToEnumConverter,class,1,0,5,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\command\express\ExpressFactory.java,com.taobao.arthas.core.command.express.ExpressFactory$Anonymous1,anonymous,1,0,5,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\shell\history\impl\HistoryManagerImpl.java,com.taobao.arthas.core.shell.history.impl.HistoryManagerImpl,class,10,0,38,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\shell\command\impl\AnnotatedCommandImpl.java,com.taobao.arthas.core.shell.command.impl.AnnotatedCommandImpl,class,17,0,85,,,,,,
E:\OOD\projectsnew\arthas-master\client\src\main\java\org\apache\commons\net\DatagramSocketFactory.java,org.apache.commons.net.DatagramSocketFactory,interface,3,3,5,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\env\PropertySourcesPropertyResolver.java,com.taobao.arthas.core.env.PropertySourcesPropertyResolver,class,16,15,45,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\util\reflect\FieldUtils.java,com.taobao.arthas.core.util.reflect.FieldUtils,class,55,171,164,,,,,,
