file,class,type,rfc,lcom,loc
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\util\UserStatUtil.java,com.taobao.arthas.core.util.UserStatUtil$RemoteJob,innerclass,9,0,44
E:\OOD\projectsnew\arthas-master\core\src\test\java\com\taobao\arthas\core\util\LongStackTest.java,com.taobao.arthas.core.util.LongStackTest,class,3,10,56
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\command\model\JvmItemVO.java,com.taobao.arthas.core.command.model.JvmItemVO,class,0,0,32
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\util\ThreadLocalRandom.java,com.taobao.arthas.core.util.ThreadLocalRandom$Anonymous1,anonymous,2,0,6
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\util\ThreadLocalRandom.java,com.taobao.arthas.core.util.ThreadLocalRandom$Anonymous2,anonymous,0,0,5
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\env\convert\StringToInetAddressConverter.java,com.taobao.arthas.core.env.convert.StringToInetAddressConverter,class,1,0,10
E:\OOD\projectsnew\arthas-master\tunnel-server\src\main\java\com\alibaba\arthas\tunnel\server\app\configuration\ArthasProperties.java,com.alibaba.arthas.tunnel.server.app.configuration.ArthasProperties$Server,innerclass,1,35,37
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\server\ArthasBootstrap.java,com.taobao.arthas.core.server.ArthasBootstrap$Anonymous1,anonymous,1,0,7
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\shell\handlers\term\CloseHandlerWrapper.java,com.taobao.arthas.core.shell.handlers.term.CloseHandlerWrapper,class,1,0,9
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\server\ArthasBootstrap.java,com.taobao.arthas.core.server.ArthasBootstrap$Anonymous2,anonymous,1,0,5
E:\OOD\projectsnew\arthas-master\memorycompiler\src\main\java\com\taobao\arthas\compiler\PackageInternalsFinder.java,com.taobao.arthas.compiler.PackageInternalsFinder,class,32,11,74
E:\OOD\projectsnew\arthas-master\common\src\main\java\com\taobao\arthas\common\ReflectException.java,com.taobao.arthas.common.ReflectException,class,3,0,11
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\command\express\Express.java,com.taobao.arthas.core.command.express.Express,interface,0,10,7
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\advisor\ArthasMethod.java,com.taobao.arthas.core.advisor.ArthasMethod,class,22,10,143
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\command\monitor200\PathTraceAdviceListener.java,com.taobao.arthas.core.command.monitor200.PathTraceAdviceListener,class,0,0,5
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\env\PropertyPlaceholderHelper.java,com.taobao.arthas.core.env.PropertyPlaceholderHelper$PlaceholderResolver,interface,0,0,3
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\command\view\ViewRenderUtil.java,com.taobao.arthas.core.command.view.ViewRenderUtil,class,45,15,108
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\shell\handlers\shell\CloseHandler.java,com.taobao.arthas.core.shell.handlers.shell.CloseHandler,class,3,0,9
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\util\reflect\ArthasReflectUtils.java,com.taobao.arthas.core.util.reflect.ArthasReflectUtils,class,56,28,161
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\command\monitor200\GroovyAdviceListener.java,com.taobao.arthas.core.command.monitor200.GroovyAdviceListener,class,8,0,41
E:\OOD\projectsnew\arthas-master\tunnel-client\src\main\java\com\alibaba\arthas\tunnel\client\ForwardClientSocketClientHandler.java,com.alibaba.arthas.tunnel.client.ForwardClientSocketClientHandler$Anonymous1,anonymous,2,0,6
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\command\monitor200\DashboardCommand.java,com.taobao.arthas.core.command.monitor200.DashboardCommand,class,56,35,170
E:\OOD\projectsnew\arthas-master\core\src\test\java\com\taobao\arthas\core\view\ObjectViewTest.java,com.taobao.arthas.core.view.ObjectViewTest$NestedClass,innerclass,1,0,11
E:\OOD\projectsnew\arthas-master\tunnel-client\src\main\java\com\alibaba\arthas\tunnel\client\ForwardClientSocketClientHandler.java,com.alibaba.arthas.tunnel.client.ForwardClientSocketClientHandler$Anonymous3,anonymous,1,0,5
E:\OOD\projectsnew\arthas-master\tunnel-client\src\main\java\com\alibaba\arthas\tunnel\client\ForwardClientSocketClientHandler.java,com.alibaba.arthas.tunnel.client.ForwardClientSocketClientHandler$Anonymous2,anonymous,4,0,7
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\advisor\AdviceWeaver.java,com.taobao.arthas.core.advisor.AdviceWeaver,class,7,0,23
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\util\affect\Affect.java,com.taobao.arthas.core.util.affect.Affect,class,3,1,9
